asin,product_name,rakuten_price,point_rebate_rate,amazon_price,referral_fee_rate,fba_fee,estimated_monthly_sales,seller_count_spike,amazon_itself_selling,is_famous_brand,research_minutes,notes
"B2-001","ロケット石鹸 セスキ炭酸ソーダ 大 1kg","731","","","","","","","","","","調査日=2026-09-22 JST;調査状態=未完了;楽天価格はブラウザで確認した税込商品表示価格・ポイント/クーポン未反映;ASIN欄は管理IDで実ASINではない;Amazon価格・出品者・同一商品照合未確認;販売数と出品者急増の履歴未確認;ブランド国内知名度およびメーカー/店舗規模の根拠不足につき判定空欄;Amazon販売手数料率/FBA配送代行手数料は未確認（標準料率で補完せず）;公式シミュレーター=https://sellercentral.amazon.co.jp/hz/fba/profitabilitycalculator/index?lang=ja_JP ;楽天URL=https://item.rakuten.co.jp/sohshopone/4903367304513/ ;JAN=4903367304513;店舗=SOHSHOPONE;送料未確定;初回の環境準備と混在したため個別時間未計測;Amazon検索URL=https://www.amazon.co.jp/s?k=4903367304513 ;同ブラウザのセッションまたはクライアント非対応の表示;公式シミュレーターでJAN検索したが結果表示を確認できず。"
"B2-002","服部製紙 sndek 重曹キッチンそうじクロス 20枚 NPJ-6","122","","","","","","","","","1.1","調査日=2026-09-22 JST;調査状態=未完了;楽天価格はブラウザで確認した税込商品表示価格・ポイント/クーポン未反映;ASIN欄は管理IDで実ASINではない;Amazon価格・出品者・同一商品照合未確認;販売数と出品者急増の履歴未確認;ブランド国内知名度およびメーカー/店舗規模の根拠不足につき判定空欄;Amazon販売手数料率/FBA配送代行手数料は未確認（標準料率で補完せず）;公式シミュレーター=https://sellercentral.amazon.co.jp/hz/fba/profitabilitycalculator/index?lang=ja_JP ;楽天URL=https://item.rakuten.co.jp/econve/1204097/ ;JAN=4976861003909;店舗=イーコンビ;7営業日以内発送予定・欠品時除く;メール便290円の記載あり・個口数で変動;Amazon限定JANウェブ検索で同一商品のAmazonページを特定できず。research_minutesは個別楽天ページ閲覧開始から次件開始等までの経過時間概算（共通準備・候補検索時間を除く/一部共通操作時間を含む）。"
"B2-003","高森コーキ 付着防止剤＆すべり剤 TU-70 45g","698","","","","","","","","","0.7","調査日=2026-09-22 JST;調査状態=未完了;楽天価格はブラウザで確認した税込商品表示価格・ポイント/クーポン未反映;ASIN欄は管理IDで実ASINではない;Amazon価格・出品者・同一商品照合未確認;販売数と出品者急増の履歴未確認;ブランド国内知名度およびメーカー/店舗規模の根拠不足につき判定空欄;Amazon販売手数料率/FBA配送代行手数料は未確認（標準料率で補完せず）;公式シミュレーター=https://sellercentral.amazon.co.jp/hz/fba/profitabilitycalculator/index?lang=ja_JP ;楽天URL=https://item.rakuten.co.jp/e-tools/4956497042671/ ;商品番号=4956497042671;店舗=Tools;容量45g;送料未確定;Amazon限定JANウェブ検索で同一商品のAmazonページを特定できず。research_minutesは個別楽天ページ閲覧開始から次件開始等までの経過時間概算（共通準備・候補検索時間を除く/一部共通操作時間を含む）。"
"B2-004","まめいた BP 浴室排水口ブラシ BS-238 1本","840","","","","","","","","","0.9","調査日=2026-09-22 JST;調査状態=未完了;楽天価格はブラウザで確認した税込商品表示価格・ポイント/クーポン未反映;ASIN欄は管理IDで実ASINではない;Amazon価格・出品者・同一商品照合未確認;販売数と出品者急増の履歴未確認;ブランド国内知名度およびメーカー/店舗規模の根拠不足につき判定空欄;Amazon販売手数料率/FBA配送代行手数料は未確認（標準料率で補完せず）;公式シミュレーター=https://sellercentral.amazon.co.jp/hz/fba/profitabilitycalculator/index?lang=ja_JP ;楽天URL=https://item.rakuten.co.jp/plantz/4930419523882/ ;商品番号=4930419523882;店舗=ものうりばPlantz;受注後取り寄せ3〜5営業日・土日祝除く;送料未確定;Amazon限定JANウェブ検索で同一商品のAmazonページを特定できず。research_minutesは個別楽天ページ閲覧開始から次件開始等までの経過時間概算（共通準備・候補検索時間を除く/一部共通操作時間を含む）。"
"B2-005","ライオンケミカル ピクス 洗たく槽クリーナー 粉タイプ 250g 1回分","495","","","","","","","","","0.5","調査日=2026-09-22 JST;調査状態=未完了;楽天価格はブラウザで確認した税込商品表示価格・ポイント/クーポン未反映;ASIN欄は管理IDで実ASINではない;Amazon価格・出品者・同一商品照合未確認;販売数と出品者急増の履歴未確認;ブランド国内知名度およびメーカー/店舗規模の根拠不足につき判定空欄;Amazon販売手数料率/FBA配送代行手数料は未確認（標準料率で補完せず）;公式シミュレーター=https://sellercentral.amazon.co.jp/hz/fba/profitabilitycalculator/index?lang=ja_JP ;楽天URL=https://item.rakuten.co.jp/kenkoex/1159-4900480224292/ ;商品番号=1159-4900480224292;店舗=健康エクスプレス;メーカー取り寄せ・欠品の可能性の記載あり;送料未確定;Amazon個別検索は閲覧制限のため未実施。research_minutesは個別楽天ページ閲覧開始から次件開始等までの経過時間概算（共通準備・候補検索時間を除く/一部共通操作時間を含む）。"
"B2-006","地の塩社 アルカリウォッシュ 500g","275","","","","","","","","","0.5","調査日=2026-09-22 JST;調査状態=未完了;楽天価格はブラウザで確認した税込商品表示価格・ポイント/クーポン未反映;ASIN欄は管理IDで実ASINではない;Amazon価格・出品者・同一商品照合未確認;販売数と出品者急増の履歴未確認;ブランド国内知名度およびメーカー/店舗規模の根拠不足につき判定空欄;Amazon販売手数料率/FBA配送代行手数料は未確認（標準料率で補完せず）;公式シミュレーター=https://sellercentral.amazon.co.jp/hz/fba/profitabilitycalculator/index?lang=ja_JP ;楽天URL=https://item.rakuten.co.jp/add-kitchen/712-5889/ ;店舗=アドキッチン;売り切れ表示あり・275円は掲載価格で仕入可能価格ではない;仕入候補から除外が必要;送料未確定;Amazon個別検索は閲覧制限のため未実施。research_minutesは個別楽天ページ閲覧開始から次件開始等までの経過時間概算（共通準備・候補検索時間を除く/一部共通操作時間を含む）。"
"B2-007","カネヨ石鹸 重曹ちゃん 1kg","424","","","","","","","","","0.5","調査日=2026-09-22 JST;調査状態=未完了;楽天価格はブラウザで確認した税込商品表示価格・ポイント/クーポン未反映;ASIN欄は管理IDで実ASINではない;Amazon価格・出品者・同一商品照合未確認;販売数と出品者急増の履歴未確認;ブランド国内知名度およびメーカー/店舗規模の根拠不足につき判定空欄;Amazon販売手数料率/FBA配送代行手数料は未確認（標準料率で補完せず）;公式シミュレーター=https://sellercentral.amazon.co.jp/hz/fba/profitabilitycalculator/index?lang=ja_JP ;楽天URL=https://item.rakuten.co.jp/benkyo/4901329290829/ ;JAN=4901329290829;店舗=くすりの勉強堂;送料未確定;Amazon個別検索は閲覧制限のため未実施。research_minutesは個別楽天ページ閲覧開始から次件開始等までの経過時間概算（共通準備・候補検索時間を除く/一部共通操作時間を含む）。"
"B2-008","ボンスター ごみシャット 細型排水口用 20枚 M-270","348","","","","","","","","","0.7","調査日=2026-09-22 JST;調査状態=未完了;楽天価格はブラウザで確認した税込商品表示価格・ポイント/クーポン未反映;ASIN欄は管理IDで実ASINではない;Amazon価格・出品者・同一商品照合未確認;販売数と出品者急増の履歴未確認;ブランド国内知名度およびメーカー/店舗規模の根拠不足につき判定空欄;Amazon販売手数料率/FBA配送代行手数料は未確認（標準料率で補完せず）;公式シミュレーター=https://sellercentral.amazon.co.jp/hz/fba/profitabilitycalculator/index?lang=ja_JP ;楽天URL=https://item.rakuten.co.jp/homedeshop/4902493442700/ ;商品番号=4902493442700;店舗=Goodsania 2nd store;店頭表示に全品送料無料・配送欄に離島等追加送料の注意あり;地域別送料未確定;在庫なし時取り寄せまたはキャンセル;Amazon個別検索は閲覧制限のため未実施。research_minutesは個別楽天ページ閲覧開始から次件開始等までの経過時間概算（共通準備・候補検索時間を除く/一部共通操作時間を含む）。"
"B2-009","アイセン 茶しぶボトルクリーナー KS962 1本","458","","","","","","","","","0.4","調査日=2026-09-22 JST;調査状態=未完了;楽天価格はブラウザで確認した税込商品表示価格・ポイント/クーポン未反映;ASIN欄は管理IDで実ASINではない;Amazon価格・出品者・同一商品照合未確認;販売数と出品者急増の履歴未確認;ブランド国内知名度およびメーカー/店舗規模の根拠不足につき判定空欄;Amazon販売手数料率/FBA配送代行手数料は未確認（標準料率で補完せず）;公式シミュレーター=https://sellercentral.amazon.co.jp/hz/fba/profitabilitycalculator/index?lang=ja_JP ;楽天URL=https://item.rakuten.co.jp/hc888/4901105129626/ ;JAN=4901105129626;店舗=セブンプロ;取り寄せ商品・在庫設定なしの記載;送料表の埼玉県800円は目安で商品別送料未確定;Amazon個別検索は閲覧制限のため未実施。research_minutesは個別楽天ページ閲覧開始から次件開始等までの経過時間概算（共通準備・候補検索時間を除く/一部共通操作時間を含む）。"
"B2-010","高森コーキ 業務用 尿石おとしバブル 4L TU-78A","7280","","","","","","","","","0.7","調査日=2026-09-22 JST;調査状態=未完了;楽天価格はブラウザで確認した税込商品表示価格・ポイント/クーポン未反映;ASIN欄は管理IDで実ASINではない;Amazon価格・出品者・同一商品照合未確認;販売数と出品者急増の履歴未確認;ブランド国内知名度およびメーカー/店舗規模の根拠不足につき判定空欄;Amazon販売手数料率/FBA配送代行手数料は未確認（標準料率で補完せず）;公式シミュレーター=https://sellercentral.amazon.co.jp/hz/fba/profitabilitycalculator/index?lang=ja_JP ;楽天URL=https://item.rakuten.co.jp/e-tools/4956497043937/ ;商品番号=4956497043937;店舗=Tools;容量4L;送料未確定;Amazon個別検索は閲覧制限のため未実施。research_minutesは個別楽天ページ閲覧開始から次件開始等までの経過時間概算（共通準備・候補検索時間を除く/一部共通操作時間を含む）。"
