asin,product_name,rakuten_price,point_rebate_rate,amazon_price,referral_fee_rate,fba_fee,estimated_monthly_sales,seller_count_spike,amazon_itself_selling,is_famous_brand,research_minutes,notes
B3-001,Effects Bakery Bagel OverDrive,5170,,5170,,,,,,,0.8,調査日2026-09-22。価格は楽天店舗の税込表示額（送料・ポイント未算入）。Amazonは本バッチ最初のBagel検索でクライアント拒否表示となり以後アクセス中止。全件ASIN・Amazon価格・Amazon自身の出品・型番/仕様/セット数の完全一致は未確認（不一致を確認したという意味ではない）。手数料・販売数・出品者急増・国内知名度は未確認のため空欄。research_minutesは個別店舗ページ確認区間の概算分で、共通候補検索・準備・補足資料確認・CSV作成を含まない。楽天URL=https://item.rakuten.co.jp/theone-store/bagel-overdrive/ 。THEONE楽天市場店。型番Bagel OverDrive、オレンジ、本体1台。DC9Vセンターマイナス15mA、電池使用不可。ACアダプター同梱有無・PSE表示は未確認。対象商品説明に個人輸入・並行輸入の記載を確認できず、輸入区分は未確定。Amazon試行URL=https://www.amazon.co.jp/s?k=Effects+Bakery+Bagel+OverDrive 。Revenue Calculatorをゲストで同名検索したが結果表示を得られず、実測手数料なし。URL=https://sellercentral.amazon.co.jp/hz/fba/profitabilitycalculator/index?lang=ja_JP | 2026-09-23追記:ユーザーがスマホのAmazonアプリで確認。Amazon価格¥5,170は楽天価格と完全同額のため、Amazon手数料・FBA手数料控除前から利益ゼロ〜赤字。判定C(見送り)確定。Bagel OverDrive/AB Box/Croissant Distortionのいずれか1点はスクリーンショットで販売元確認済み（出荷元Amazon(FBA)・販売元エフェクター専門店ナインボルト・評価1,775件、Amazon本体の直接出品ではない）だが3点中どれか未特定。
B3-002,JOYO Vintage Overdrive JF-01,8470,,,,,,,,,0.4,調査日2026-09-22。価格は楽天店舗の税込表示額（送料・ポイント未算入）。Amazonは本バッチ最初のBagel検索でクライアント拒否表示となり以後アクセス中止。全件ASIN・Amazon価格・Amazon自身の出品・型番/仕様/セット数の完全一致は未確認（不一致を確認したという意味ではない）。手数料・販売数・出品者急増・国内知名度は未確認のため空欄。research_minutesは個別店舗ページ確認区間の概算分で、共通候補検索・準備・補足資料確認・CSV作成を含まない。楽天URL=https://item.rakuten.co.jp/39thanks/joyo-jf-01/ 。楽器ランド サンクス。型番JF-01（仕様欄jf-01）、本体1台。売り切れ表示の掲載価格であり現在仕入れ可能な価格ではない。優先価格帯8000円を470円超過。店舗説明では電源・電池・ACアダプター同梱有無・PSE表示未確認。JOYO公式2017-03-30告知はJF-01～JF-17の9Vテスト電池付属終了を説明するが、この在庫の同梱物を確定する情報ではない。https://joyo-japan.co.jp/info/1501111 。対象説明に個人輸入・並行輸入の記載を確認できず、輸入区分未確定。 他商品のRevenue Calculator照合はAmazon商品未特定のため未実施。
B3-003,One Control Minimal Series AB Box,5170,,5170,,,,,,,0.6,調査日2026-09-22。価格は楽天店舗の税込表示額（送料・ポイント未算入）。Amazonは本バッチ最初のBagel検索でクライアント拒否表示となり以後アクセス中止。全件ASIN・Amazon価格・Amazon自身の出品・型番/仕様/セット数の完全一致は未確認（不一致を確認したという意味ではない）。手数料・販売数・出品者急増・国内知名度は未確認のため空欄。research_minutesは個別店舗ページ確認区間の概算分で、共通候補検索・準備・補足資料確認・CSV作成を含まない。楽天URL=https://item.rakuten.co.jp/theone-store/ab-box/ 。THEONE楽天市場店。型番Minimal Series AB Box、ブラック、本体1台。パッシブ機械式切替は無電源で動作。LED点灯にはDC9Vセンターマイナスアダプターが必要、電池不可。ACアダプター同梱有無・PSE表示未確認。対象説明に個人輸入・並行輸入の記載を確認できず、輸入区分未確定。 他商品のRevenue Calculator照合はAmazon商品未特定のため未実施。 | 2026-09-23追記:ユーザーがスマホのAmazonアプリで確認。Amazon価格¥5,170は楽天価格と完全同額のため利益ゼロ〜赤字。判定C(見送り)確定。
B3-004,LOXX Music Box Standard Black Chrome,3245,,,,,,,,,0.5,調査日2026-09-22。価格は楽天店舗の税込表示額（送料・ポイント未算入）。Amazonは本バッチ最初のBagel検索でクライアント拒否表示となり以後アクセス中止。全件ASIN・Amazon価格・Amazon自身の出品・型番/仕様/セット数の完全一致は未確認（不一致を確認したという意味ではない）。手数料・販売数・出品者急増・国内知名度は未確認のため空欄。research_minutesは個別店舗ページ確認区間の概算分で、共通候補検索・準備・補足資料確認・CSV作成を含まない。楽天URL=https://item.rakuten.co.jp/ninevolt/loxxmusicboxstandardbl/ 。エフェクター専門店 ナインボルト。商品番号4562459901148。タイトル・型番はBlack Chromeだが説明のカラーはニッケルで矛盾、色仕様未確定。セットは上部パーツ2個、ステンレスネジ4.2×16mm2個、フェルト2枚、小型キー1個。非電動ストラップロックにつき電源・アダプターのPSE確認は該当なし。正規輸入品表記あり。店舗に「利益目的の転売はご遠慮ください」と明記されており、本調査目的の仕入れ候補から除外すべき店舗条件。 他商品のRevenue Calculator照合はAmazon商品未特定のため未実施。
B3-005,KAMINARI Electric Guitar Cable K-GC3SS (3m SS),5980,,,,,,,,,0.4,調査日2026-09-22。価格は楽天店舗の税込表示額（送料・ポイント未算入）。Amazonは本バッチ最初のBagel検索でクライアント拒否表示となり以後アクセス中止。全件ASIN・Amazon価格・Amazon自身の出品・型番/仕様/セット数の完全一致は未確認（不一致を確認したという意味ではない）。手数料・販売数・出品者急増・国内知名度は未確認のため空欄。research_minutesは個別店舗ページ確認区間の概算分で、共通候補検索・準備・補足資料確認・CSV作成を含まない。楽天URL=https://item.rakuten.co.jp/pandomi/kaminari-k-gcss/ 。パンドミ。メーカー型番K-GC3SS、3m、両端ストレート、ブルー、ケーブル1本。売り切れ表示の掲載価格であり現在仕入れ可能な価格ではない。信号ケーブルで電池・ACアダプター使用なし、電源のPSE確認は該当なし。関連商品に並行輸入品表記があるが対象商品に適用せず、対象の輸入区分未確認。 他商品のRevenue Calculator照合はAmazon商品未特定のため未実施。
B3-006,Effects Bakery Cream Pan Booster,5170,,,,,,,,,0.4,調査日2026-09-22。価格は楽天店舗の税込表示額（送料・ポイント未算入）。Amazonは本バッチ最初のBagel検索でクライアント拒否表示となり以後アクセス中止。全件ASIN・Amazon価格・Amazon自身の出品・型番/仕様/セット数の完全一致は未確認（不一致を確認したという意味ではない）。手数料・販売数・出品者急増・国内知名度は未確認のため空欄。research_minutesは個別店舗ページ確認区間の概算分で、共通候補検索・準備・補足資料確認・CSV作成を含まない。楽天URL=https://item.rakuten.co.jp/theone-store/cream-pan-booster/ 。THEONE楽天市場店。型番Cream Pan Booster、ピンク、本体1台。売り切れ表示の掲載価格であり現在仕入れ可能な価格ではない。DC9Vセンターマイナス4mA、電池使用不可。ACアダプター同梱有無・PSE表示未確認。対象説明に個人輸入・並行輸入の記載を確認できず、輸入区分未確定。 他商品のRevenue Calculator照合はAmazon商品未特定のため未実施。
B3-007,Effects Bakery NEW Croissant Distortion,5170,,5170,,,,,,,0.4,調査日2026-09-22。価格は楽天店舗の税込表示額（送料・ポイント未算入）。Amazonは本バッチ最初のBagel検索でクライアント拒否表示となり以後アクセス中止。全件ASIN・Amazon価格・Amazon自身の出品・型番/仕様/セット数の完全一致は未確認（不一致を確認したという意味ではない）。手数料・販売数・出品者急増・国内知名度は未確認のため空欄。research_minutesは個別店舗ページ確認区間の概算分で、共通候補検索・準備・補足資料確認・CSV作成を含まない。楽天URL=https://item.rakuten.co.jp/theone-store/croissant-distortion/ 。THEONE楽天市場店。タイトル・型番欄NEW Croissant Distortion、イエロー、本体1台。説明本文はNEWを省略しており旧版と混同不可、AmazonでNEW版の一致確認が必要。DC9Vセンターマイナス6mA、電池使用不可。ACアダプター同梱有無・PSE表示未確認。対象説明に個人輸入・並行輸入の記載を確認できず、輸入区分未確定。 他商品のRevenue Calculator照合はAmazon商品未特定のため未実施。 | 2026-09-23追記:ユーザーがスマホのAmazonアプリで確認。Amazon価格¥5,170は楽天価格と完全同額のため利益ゼロ〜赤字。判定C(見送り)確定。NEW版かどうかの型番一致は未確認のまま。
B3-008,Effects Bakery NEW French Bread Delay,5280,,5280,,,,,no,,0.3,調査日2026-09-22。価格は楽天店舗の税込表示額（送料・ポイント未算入）。Amazonは本バッチ最初のBagel検索でクライアント拒否表示となり以後アクセス中止。全件ASIN・Amazon価格・Amazon自身の出品・型番/仕様/セット数の完全一致は未確認（不一致を確認したという意味ではない）。手数料・販売数・出品者急増・国内知名度は未確認のため空欄。research_minutesは個別店舗ページ確認区間の概算分で、共通候補検索・準備・補足資料確認・CSV作成を含まない。楽天URL=https://item.rakuten.co.jp/theone-store/french-bread-delay/ 。THEONE楽天市場店。タイトル・型番欄NEW French Bread Delay、イエロー、本体1台。説明本文はNEWを省略しており旧版と混同不可、AmazonでNEW版の一致確認が必要。最大ディレイ500ms。DC9Vセンターマイナス35mA、電池使用不可。ACアダプター同梱有無・PSE表示未確認。対象説明に個人輸入・並行輸入の記載を確認できず、輸入区分未確定。 他商品のRevenue Calculator照合はAmazon商品未特定のため未実施。 | 2026-09-23追記:ユーザーがスマホのAmazonアプリで確認。Amazon価格¥5,280は楽天価格と完全同額のため利益ゼロ〜赤字。販売元はエフェクター専門店ナインボルト（Amazon本体出品ではない）。判定C(見送り)確定。
B3-009,Effects Bakery Plain Bread Compressor,5720,,5720,,,,,no,,0.5,調査日2026-09-22。価格は楽天店舗の税込表示額（送料・ポイント未算入）。Amazonは本バッチ最初のBagel検索でクライアント拒否表示となり以後アクセス中止。全件ASIN・Amazon価格・Amazon自身の出品・型番/仕様/セット数の完全一致は未確認（不一致を確認したという意味ではない）。手数料・販売数・出品者急増・国内知名度は未確認のため空欄。research_minutesは個別店舗ページ確認区間の概算分で、共通候補検索・準備・補足資料確認・CSV作成を含まない。楽天URL=https://item.rakuten.co.jp/theone-store/plain-bread-compressor/ 。THEONE楽天市場店。型番Plain Bread Compressor、ホワイト、本体1台。DC9Vセンターマイナス17.5mA、電池使用不可。ACアダプター同梱有無・PSE表示未確認。対象説明に個人輸入・並行輸入の記載を確認できず、輸入区分未確定。 他商品のRevenue Calculator照合はAmazon商品未特定のため未実施。 | 2026-09-23追記:ユーザーがスマホのAmazonアプリで確認。Amazon価格¥5,720は楽天価格と完全同額のため利益ゼロ〜赤字。販売元はエフェクター専門店ナインボルト（Amazon本体出品ではない）。判定C(見送り)確定。
B3-010,Effects Bakery Curry Bread Junction Box,4290,,4230,,,,,no,,0.3,調査日2026-09-22。価格は楽天店舗の税込表示額（送料・ポイント未算入）。Amazonは本バッチ最初のBagel検索でクライアント拒否表示となり以後アクセス中止。全件ASIN・Amazon価格・Amazon自身の出品・型番/仕様/セット数の完全一致は未確認（不一致を確認したという意味ではない）。手数料・販売数・出品者急増・国内知名度は未確認のため空欄。research_minutesは個別店舗ページ確認区間の概算分で、共通候補検索・準備・補足資料確認・CSV作成を含まない。楽天URL=https://item.rakuten.co.jp/theone-store/curry-bread/ 。THEONE楽天市場店。型番Curry Bread Junction Box、カーキグリーン、本体1台、2in/2outジャンクションボックス。店舗説明では電源不要との明示を確認できず、電池駆動可否・ACアダプター同梱有無・PSE表示未確認。対象説明に個人輸入・並行輸入の記載を確認できず、輸入区分未確定。 他商品のRevenue Calculator照合はAmazon商品未特定のため未実施。 | 2026-09-23追記:ユーザーがスマホのAmazonアプリで確認。Amazon価格¥4,230は楽天価格¥4,290より60円安く、手数料以前に確定赤字（逆ザヤ）。販売元はミュージックランドkey eastオンラインストア（Amazon本体出品ではない）。判定C(見送り)確定。
