asin,product_name,rakuten_price,point_rebate_rate,amazon_price,referral_fee_rate,fba_fee,estimated_monthly_sales,seller_count_spike,amazon_itself_selling,is_famous_brand,research_minutes,notes
OBS-K0000599956,ウタマロキッチン 詰替250ml,240,,253,,,,,,,,調査日2026-09-22。価格.com掲載値の転記（店舗直接確認なし・更新遅延あり）。税込商品価格・送料別。IDは管理ID。空欄は未確認または未計測で0/noではない。販売ページのJAN・個数照合未完了。出典=https://kakaku.com/item/K0000599956/
OBS-K0001574348,キュキュット クリア除菌 緑茶の香り 詰替1250ml,635,,573,,,,,,,,調査日2026-09-22。価格.com掲載値の転記（店舗直接確認なし・更新遅延あり）。税込商品価格・送料別。IDは管理ID。空欄は未確認または未計測で0/noではない。販売ページのJAN・個数照合未完了。出典=https://kakaku.com/item/K0001574348/
OBS-K0001574345,キュキュット クリア除菌 レモンの香り 詰替1250ml,620,,658,,,,,,,,調査日2026-09-22。価格.com掲載値の転記（店舗直接確認なし・更新遅延あり）。税込商品価格・送料別。IDは管理ID。空欄は未確認または未計測で0/noではない。販売ページのJAN・個数照合未完了。出典=https://kakaku.com/item/K0001574345/
OBS-K0001352400,オキシクリーンEX 500g,630,,602,,,,,,,,調査日2026-09-22。価格.com掲載値の転記（店舗直接確認なし・更新遅延あり）。税込商品価格・送料別。IDは管理ID。空欄は未確認または未計測で0/noではない。販売ページのJAN・個数照合未完了。出典=https://kakaku.com/item/K0001352400/
OBS-K0000611267,キクロンA 2コ入,256,,236,,,,,,,,調査日2026-09-22。価格.com掲載値の転記（店舗直接確認なし・更新遅延あり）。税込商品価格・送料別。IDは管理ID。空欄は未確認または未計測で0/noではない。販売ページのJAN・個数照合未完了。出典=https://kakaku.com/item/K0000611267/
OBS-K0000599730,シャボン玉石けん 酸素系漂白剤750g,460,,519,,,,,,,,調査日2026-09-22。価格.com掲載値の転記（店舗直接確認なし・更新遅延あり）。税込商品価格・送料別。IDは管理ID。空欄は未確認または未計測で0/noではない。販売ページのJAN・個数照合未完了。出典=https://kakaku.com/item/K0000599730/
OBS-K0000643516,ウタマロクリーナー 詰替350ml,257,,,,,,,,,,調査日2026-09-22。価格.com掲載値の転記（店舗直接確認なし・更新遅延あり）。税込商品価格・送料別。IDは管理ID。空欄は未確認または未計測で0/noではない。販売ページのJAN・個数照合未完了。Amazon欄に1840円掲載あり。ただしセット数未照合のため価格列への採用を保留。出典=https://kakaku.com/item/K0000643516/
OBS-K0000600327,パイプユニッシュ800g,283,,,,,,,,,,調査日2026-09-22。価格.com掲載値の転記（店舗直接確認なし・更新遅延あり）。税込商品価格・送料別。IDは管理ID。空欄は未確認または未計測で0/noではない。販売ページのJAN・個数照合未完了。Amazon欄に1100円掲載あり。ただしセット数未照合のため価格列への採用を保留。出典=https://kakaku.com/item/K0000600327/
OBS-K0000667076,緑の魔女 キッチン5L,2940,,,,,,,,,,調査日2026-09-22。価格.com掲載値の転記（店舗直接確認なし・更新遅延あり）。税込商品価格・送料別。IDは管理ID。空欄は未確認または未計測で0/noではない。販売ページのJAN・個数照合未完了。Amazon欄に4900円掲載あり。ただしセット数未照合のため価格列への採用を保留。出典=https://kakaku.com/item/K0000667076/
OBS-K0000598070,ウタマロ石けん133g,120,,,,,,,,,,調査日2026-09-22。価格.com掲載値の転記（店舗直接確認なし・更新遅延あり）。税込商品価格・送料別。IDは管理ID。空欄は未確認または未計測で0/noではない。販売ページのJAN・個数照合未完了。Amazon欄に855円掲載あり。ただしセット数未照合のため価格列への採用を保留。出典=https://kakaku.com/item/K0000598070/
